id,tgl_masuk_barang_gudang,nomor_po,nama_brg,nie_brg,tipe_brg,merk_brg,negara_asal,stok,deskripsi_alat,harga_beli,harga_satuan,status_cek
25,0000-00-00,,INTERFERENCE FILTER 380NM,,OEM000725,BIOLABO,,2,Spare Part - Biolabo,0,0,1
26,0000-00-00,,HEMOSTASIS (2 COAGULOMETER WITH 2 MEANSURING CHANNELS),,BIOSOLEA 2,BIOLABO,FRANCE,10,ALAT Laboratorium,0,112500000,1
27,0000-00-00,,4 CHANNEL COAGULOMETER,,BIOSOLEA 4,BIOLABO,FRANCE,3,ALAT Laboratorium,0,215118000,1
28,0000-00-00,,"FULLY AUTOMATIC CHEMISTRY BLOOD ANALYZER, CAP.240 TEST/HOUR",,KENZA - 240TX,BIOLABO,FRANCE,10,ALAT Laboratorium,0,750000000,1
29,0000-00-00,,BIOCHEMISTRY BLOOD ANALYZER,,KENZA - MAX,BIOLABO,FRANCE,38,ALAT Laboratorium,0,105000000,1
30,0000-00-00,,BIO-CK APTT KAOLIN 6 X 3 ML,,13560,BIOLABO,FRANCE,50,Reagen Laboratorium,0,0,1
31,0000-00-00,,BIO-TP LL (LOW ISI) PROTHROMBIN TIME (PT) 10 X 2 ML + BUFFER 25 ML,,13702,BIOLABO,FRANCE,50,Reagen Laboratorium,0,0,1
32,0000-00-00,,BIO-TP LL (LOW ISI) PROTHROMBIN TIME (PT) 6 X 4 ML + BUFFER 25 ML,,13704,BIOLABO,FRANCE,40,Reagen Laboratorium,0,1579000,1
33,0000-00-00,,CONTROL PLASMA LEVEL 1 (NORMAL VALUES ) 6 X 1 ML,,13961,BIOLABO,FRANCE,20,Reagen Laboratorium,0,1247000,1
34,0000-00-00,,HBA1C CONTROL LEVEL NORMAL 1X0.5,,22013,BIOLABO,FRANCE,2,Reagen Laboratorium,0,0,1
35,0000-00-00,,MICROALBUMIN TURBIDIMETRIC IMMUNOASSAY,,23010,BIOLABO,FRANCE,2,Reagen Laboratorium,0,0,1
36,0000-00-00,,MICROALBUMIN STANDART,,23013,BIOLABO,FRANCE,2,Reagen Laboratorium,0,0,1
37,0000-00-00,,MICROALBUMIN CONTROL,,23014,BIOLABO,FRANCE,2,Reagen Laboratorium,0,0,1
38,0000-00-00,,ACID PHOSPHATASE T&P 60 TESTS,,3300060,BIOLABO,FRANCE,1,Reagen Laboratorium,0,0,1
39,0000-00-00,,URIC ACID URICASE METHOD 2 X 100 ML,,80001,BIOLABO,FRANCE,50,Reagen Laboratorium,0,604000,1
40,0000-00-00,,ALBUMIN 2 X 200 ML,,80002,BIOLABO,FRANCE,20,Reagen Laboratorium,0,456000,1
41,0000-00-00,,PHOSPHOROUS (INORG.) U.V. 2 X 125 ML,,80015,BIOLABO,FRANCE,1,Reagen Laboratorium,0,531000,1
42,0000-00-00,,TRIGLYCERIDES GPO METHOD 2 X 50 ML,,80019,BIOLABO,FRANCE,50,Reagen Laboratorium,0,585000,1
43,0000-00-00,,CHOLESTEROL CHOD-PAP METHOD 2 X 100 ML,,80106,BIOLABO,FRANCE,300,Reagen Laboratorium,0,604000,1
44,0000-00-00,,CREATININE KINETIC METHOD 2 X 125 ML,,80107,BIOLABO,FRANCE,150,Reagen Laboratorium,0,480000,1
45,0000-00-00,,AST/GOT (IFCC) SINGLE VIAL 8 X 30 ML,,80125,BIOLABO,FRANCE,50,Reagen Laboratorium,0,974000,1
46,0000-00-00,,ALT/GPT (IFCC) SINGLE VIAL 8 X 30 ML,,80127,BIOLABO,FRANCE,50,Reagen Laboratorium,0,974000,1
47,0000-00-00,,URIC ACID URICASE METHOD 6 X 30 ML,,80351,BIOLABO,FRANCE,200,Reagen Laboratorium,0,727000,1
48,0000-00-00,,GAMMA GT 10X 10 ML,,81210,BIOLABO,FRANCE,30,Reagen Laboratorium,0,980000,1
49,0000-00-00,,TRIGLYCERIDES GPO 10 X 100 ML,,87319,BIOLABO,FRANCE,1,Reagen Laboratorium,0,4811000,1
50,0000-00-00,,HDL-CHOLESTEROL DIRECT METHOD 200 - 250 TESTS,,90206,BIOLABO,FRANCE,80,Reagen Laboratorium,0,2961000,1
51,0000-00-00,,LDL-CHOLESTEROL DIRECT METHOD 100 - 125 TESTS,,90416,BIOLABO,FRANCE,80,Reagen Laboratorium,0,3577000,1
52,0000-00-00,,CK-NAC IFCC SINGLE VIAL 20 X 3 ML,,92207,BIOLABO,FRANCE,10,Reagen Laboratorium,0,1047000,1
53,0000-00-00,,ALKALINE PHOSPHATASE (DEA) 8 X 30ML,,92214,BIOLABO,FRANCE,20,Reagen Laboratorium,0,1005000,1
54,0000-00-00,,T.I.B.C 30 TESTS,,92308,BIOLABO,FRANCE,2,Reagen Laboratorium,0,585000,1
55,0000-00-00,,BIOLABO EXATROL-N LEVEL 1 10 X 5 ML,,95010,BIOLABO,FRANCE,140,Reagen Laboratorium,0,2238000,1
56,0000-00-00,,BIOLABO EXATROL-P LEVEL 2 10 X  5 ML,,95011,BIOLABO,FRANCE,5,Reagen Laboratorium,0,2300000,1
57,0000-00-00,,MULTICALIBRATOR 10 X 5 ML,,95015,BIOLABO,FRANCE,70,Reagen Laboratorium,0,2714000,1
58,0000-00-00,,HDL/LDL/CKMB CONTROL LEV. 2,,95526,BIOLABO,FRANCE,1,Reagen Laboratorium,0,1382000,1
59,0000-00-00,,CK-MB 10 X 3 ML,,97217,BIOLABO,FRANCE,20,Reagen Laboratorium,0,1208000,1
60,0000-00-00,,UREA U.V. HIGH LINEARITY KINETIC METHOD 8 X 30 ML,,99032,BIOLABO,FRANCE,120,Reagen Laboratorium,0,1017000,1
61,0000-00-00,,BIOLABO CRP CONTROL HIGH,,CRP /CONT_ (EXP. SEP 18),BIOLABO,FRANCE,2,Reagen Laboratorium,0,0,1
62,0000-00-00,,BIOLABO CRP CONTROL LOW,,CRP /CONT_L5 (EXP. MAY 19),BIOLABO,FRANCE,1,Reagen Laboratorium,0,0,1
63,0000-00-00,,BIOLABO CRP STANDART,,CRP/CAL_SE,BIOLABO,FRANCE,2,Reagen Laboratorium,0,0,1
64,0000-00-00,,CRP TURBIDIMETRIC IMMUNOASSAY,,CRP050E,BIOLABO,FRANCE,2,Reagen Laboratorium,0,0,1
65,0000-00-00,,GLUCOSE GOD-PAP LIQUID READY TO USE 2 X 200 ML,,LP80209,BIOLABO,FRANCE,250,Reagen Laboratorium,0,462000,1
66,0000-00-00,,TOTAL PROTEIN  BIURET METHOD READY TO USE 1 X 200 ML,,LP87016,BIOLABO,FRANCE,50,Reagen Laboratorium,0,308000,1
67,0000-00-00,,CBM DRY STERILIZER,,2429,CBM,ITALY,6,,0,0,1
68,0000-00-00,,CBM DRY STERILIZER,,2429V,CBM,ITALY,4,,0,0,1
69,0000-00-00,,URINE ANALYZER 300 TEST/HOUR,,ANYSCAN - 300,CHUNGDO,KOREA,4,,0,0,1
70,0000-00-00,,URINE ANALYZER 720 TEST/HOUR,,ANYSCAN - 720,CHUNGDO,KOREA,10,,0,0,1
71,0000-00-00,,URINE TEST STRIP,,SELF-STIK 10L,CHUNGDO,KOREA,500,,0,0,1
72,0000-00-00,,EXAMINATION LIGHT,,BH - 132,FAMED Lodz,POLAND,20,,0,28824000,1
73,0000-00-00,,HALOGEN SHADOWLESS COMBINATION CEILING OPERATING LAMP 5/3,,BHC - 502/302,FAMED Lodz,POLAND,4,,0,564471000,1
74,0000-00-00,,LED COMBINATION CELLING OPERATING LAMP,,BHC - 502/502,FAMED Lodz,POLAND,1,,0,917648000,1
75,0000-00-00,,HALOGEN SHADOWLESS COMBINATION CEILING OPERATING LAMP 7/3,,BHC - 702/302,FAMED Lodz,POLAND,1,,0,635059000,1
76,0000-00-00,,SURGICAL LAMP DOUBLE CEILING MOUNTED OPERATING LIGHT,,IGNIS 160/160C,FAMED Lodz,POLAND,7,,0,0,1
77,0000-00-00,,"SURGICAL LAMP, MOBILE 3 PROJECTOR OPERATING LIGHT",,SOLIS 160F,FAMED Lodz,POLAND,9,,0,0,1
78,0000-00-00,,"SURGICAL LAMP, DIAGNOSTIC LAMP,",,SOLIS 30F,FAMED Lodz,POLAND,40,,0,0,1
79,0000-00-00,,HYDRAULIC GYNAECOLOGICAL,,FG - 06,FAMED ZYWIEC,POLAND,1,,0,0,1
80,0000-00-00,,HYDRAULIC OPERATING TABLE,,SU - 02,FAMED ZYWIEC,POLAND,5,,0,622000000,1
81,0000-00-00,,ELECTRIC OPERATING TABLE 5 SECTION,,SU - 03,FAMED ZYWIEC,POLAND,3,,0,1255000000,1
82,0000-00-00,,EMERGENCY PATIENT TRANSPORTATION,,WP - 02,FAMED ZYWIEC,POLAND,1,,0,139500000,1
83,0000-00-00,,FINECARE CRP (C-REACTIVE PROTEIN) RAPID QUANTITATIVE TEST,,W 201,GUANGZHOU WONDFO,CHINA,250,,0,0,1
84,0000-00-00,,FINECARE CARDIAC TROPONIN (CTN) I QUANTITATIVE TEST,,W 203,GUANGZHOU WONDFO,CHINA,35,,0,2987500,1
85,0000-00-00,,FINECARE CK-MB RAPID QUANTITATIVE TEST,,W 205,GUANGZHOU WONDFO,CHINA,30,,0,1,1
86,0000-00-00,,FINECARE HEMOGLOBIN A1C QUANTITATIVE TEST,,W 207,GUANGZHOU WONDFO,CHINA,150,,0,2237500,1
87,0000-00-00,,FINECARE ALPHA-FETOPROTEIN (AFP) QUANTITATIVE TEST,,W 208,GUANGZHOU WONDFO,CHINA,10,,0,0,1
88,0000-00-00,,FINECARE PROSTATE SPECIFIC ANTIGEN (PSA) QUANTITATIVE TEST,,W 209,GUANGZHOU WONDFO,CHINA,10,,0,2487500,1
89,0000-00-00,,FINECARE DIAGNOSTIC KIT FOR QUANTITATIVE DETERMINATION OF PROCALCITANIN (IMMUNOCHROMATOGRAPHIC),,W 210,GUANGZHOU WONDFO,CHINA,20,,0,0,1
90,0000-00-00,,FINECARE DIAGNOSTIC KIT FOR QUANTITATIVE DETERMINATION D-DIMER,,W 211,GUANGZHOU WONDFO,CHINA,15,,0,2237500,1
91,0000-00-00,,APPENDEXTOMY INSTRUMENT SET,,APPENDEXTOMY VARIOUS,HEBU,GERMANY,4,,0,85975000,1
92,0000-00-00,,"PIN TYPE SOCKET WRENCH WITHT-HANDLE, 11MM",,E 8888-01,HEBU,GERMANY,1,,0,896400,1
93,0000-00-00,,SEAL RING FOR BYONET CATCH,,E 8888-02,HEBU,GERMANY,1,,0,43200,1
94,0000-00-00,,RETAINING CLIP FOR CABLE,,E 8888-03,HEBU,GERMANY,1,,0,561600,1
95,0000-00-00,,TORX-WRENCH WITH T-HANDLEMODEL SERIES > 06/2010,,E 8891-03,HEBU,GERMANY,1,,0,896400,1
96,0000-00-00,,TORX SCREW SET FOR SAW HEAD,,E 8891-04,HEBU,GERMANY,1,,0,302400,1
97,0000-00-00,,SPARE SCREW FOR SAW BLADE,,E 8894-02,HEBU,GERMANY,1,,0,561600,1
98,0000-00-00,,FIXATION RING FOR SCREW,,E 8894-03,HEBU,GERMANY,1,,0,432000,1
99,0000-00-00,,"ADAPTER CABLE, SCHUKO PLUG TONEW ASPIRATION, 0,3M",,E 8894-50,HEBU,GERMANY,1,,0,842400,1
100,0000-00-00,,"ADAPTER CABLE,MODIFIZIERT SAWFOR ASPIRATION TO SCHUKO PLUG,2,8M",,E 8894-51,HEBU,GERMANY,1,,0,898600,1
101,0000-00-00,,"ADAPTER FOR THE ABSORPTION OF2 SAW BLADES, DISTANCE 13MM2 PARTS",,E8891-13,HEBU,GERMANY,1,,0,1512000,1
102,0000-00-00,,"OPEN-END WRENCH, 11MM",,E8894-01,HEBU,GERMANY,1,,0,313200,1
103,0000-00-00,,INSTRUMENT SET (5 ITEMS),,HB 0001,HEBU,GERMANY,1,,0,4593300,1
104,0000-00-00,,INSTRUMENT SET (9 ITEMS),,HB 0002,HEBU,GERMANY,1,,0,8118400,1
105,0000-00-00,,INSTRUMENT SET (9 ITEMS),,HB 0003,HEBU,GERMANY,1,,0,9242700,1
106,0000-00-00,,INSTRUMENT SET (9 ITEMS),,HB 0004,HEBU,GERMANY,1,,0,8845200,1
107,0000-00-00,,"HEBU SAMPLE PORTFOLIO, BLACK, EQUIPABLE ON BOTH SIDES",,HB 0007,HEBU,GERMANY,1,,0,8532000,1
108,0000-00-00,,"LARYNGEAL MIRROR WITH HANDLE, FIG. 000, 6MM",,HB 0008,HEBU,GERMANY,1,,0,335900,1
109,0000-00-00,,"LARYNGEAL MIRROR WITH HANDLE, FIG.00, 8MM",,HB 0009,HEBU,GERMANY,1,,0,335900,1
110,0000-00-00,,"LARYNGEAL MIRROR WITH HANDLE,FIG.0, 10MM",,HB 0010,HEBU,GERMANY,1,,0,335900,1
111,0000-00-00,,"LARYNGEAL MIRROR WITH HANDLE,FIG.1, 12MM",,HB 0011,HEBU,GERMANY,1,,0,335900,1
112,0000-00-00,,"LARYNGEAL MIRROR WITH HANDLE,FIG.2, 14MM",,HB 0012,HEBU,GERMANY,1,,0,335900,1
113,0000-00-00,,"LARYNGEAL MIRROR WITH HANDLE,FIG.3, 16MM",,HB 0013,HEBU,GERMANY,1,,0,335900,1
114,0000-00-00,,"LARYNGEAL MIRROR WITH HANDLE,FIG.4, 18MM",,HB 0014,HEBU,GERMANY,1,,0,335900,1
115,0000-00-00,,"LARYNGEAL MIRROR WITH HANDLE,FIG.5, 20MM",,HB 0015,HEBU,GERMANY,1,,0,335900,1
116,0000-00-00,,"LARYNGEAL MIRROR WITH HANDLE,FIG.6, 22MM",,HB 0016,HEBU,GERMANY,1,,0,335900,1
117,0000-00-00,,"LARYNGEAL MIRROR WITH HANDLE,FIG.7, 24MM",,HB 0017,HEBU,GERMANY,1,,0,335900,1
118,0000-00-00,,"LARYNGEAL MIRROR WITH HANDLE,FIG.8, 26MM",,HB 0018,HEBU,GERMANY,1,,0,335900,1
119,0000-00-00,,"LARYNGEAL MIRROR WITH HANDLE,FIG.9, 28MM",,HB 0019,HEBU,GERMANY,1,,0,335900,1
120,0000-00-00,,"LARYNGEAL MIRROR WITH HANDLE,FIG.10, 30MM",,HB 0020,HEBU,GERMANY,1,,0,335900,1
121,0000-00-00,,"METAL HANDLE FOR LARYNGEALMIRROR, 10CM, 4""",,HB 0025,HEBU,GERMANY,1,,0,522800,1
122,0000-00-00,,"LARYNGEAL MIRROR WITHOUTHANDLE, FIG.000, 6MM",,HB 0028,HEBU,GERMANY,1,,0,262500,1
123,0000-00-00,,"LARYNGEAL MIRROR WITHOUTHANDLE, FIG.00, 8MM",,HB 0029,HEBU,GERMANY,1,,0,262500,1
124,0000-00-00,,"LARYNGEAL MIRROR WITHOUTHANDLE, FIG.0, 10MM",,HB 0030,HEBU,GERMANY,1,,0,262500,1
125,0000-00-00,,"LARYNGEAL MIRROR WITHOUTHANDLE, FIG.1, 12MM",,HB 0031,HEBU,GERMANY,1,,0,262500,1
126,0000-00-00,,"LARYNGEAL MIRROR WITHOUTHANDLE, FIG.2, 14MM",,HB 0032,HEBU,GERMANY,1,,0,262500,1
127,0000-00-00,,"LARYNGEAL MIRROR WITHOUTHANDLE, FIG.3, 16MM",,HB 0033,HEBU,GERMANY,1,,0,262500,1
128,0000-00-00,,"LARYNGEAL MIRROR WITHOUTHANDLE, FIG.4, 18MM",,HB 0034,HEBU,GERMANY,1,,0,262500,1
129,0000-00-00,,"LARYNGEAL MIRROR WITHOUTHANDLE, FIG.5, 20MM",,HB 0035,HEBU,GERMANY,1,,0,262500,1
130,0000-00-00,,"LARYNGEAL MIRROR WITHOUTHANDLE, FIG.6, 22MM",,HB 0036,HEBU,GERMANY,1,,0,262500,1
131,0000-00-00,,"LARYNGEAL MIRROR WITHOUTHANDLE, FIG.7, 24MM",,HB 0037,HEBU,GERMANY,1,,0,262500,1
132,0000-00-00,,"LARYNGEAL MIRROR WITHOUTHANDLE, FIG.8, 26MM",,HB 0038,HEBU,GERMANY,1,,0,262500,1
133,0000-00-00,,"LARYNGEAL MIRROR WITHOUTHANDLE, FIG.9, 28MM",,HB 0039,HEBU,GERMANY,1,,0,262500,1
134,0000-00-00,,"LARYNGEAL MIRROR WITHOUTHANDLE, FIG.10, 30MM",,HB 0040,HEBU,GERMANY,1,,0,262500,1
135,0000-00-00,,"BABINSKY PERCUSSION HAMMER,25CM, 10""",,HB 0045,HEBU,GERMANY,1,,0,1717200,1
136,0000-00-00,,RUBBER ONLY FOR BABINSKYHAMMER,,HB 0045-01,HEBU,GERMANY,1,,0,307800,1
137,0000-00-00,,"TAYLOR PERCUSSION HAMMER,20CM, 8""",,HB 0046,HEBU,GERMANY,1,,0,475200,1
138,0000-00-00,,"BERLINER PERCUSSION HAMMER,20CM, 8""",,HB 0047,HEBU,GERMANY,1,,0,1303600,1
139,0000-00-00,,"TRAUBE PERCUSSION HAMMER,17CM, 6 3/4""",,HB 0048,HEBU,GERMANY,1,,0,1110300,1
140,0000-00-00,,"TROEMNER PERCUSSION HAMMER,24CM, 9 1/2""",,HB 0049,HEBU,GERMANY,1,,0,2999200,1
141,0000-00-00,,"BUCK PERCUSSION HAMMER, 18CM,7""",,HB 0050,HEBU,GERMANY,1,,0,1280900,1
142,0000-00-00,,"DÉJERINE PERCUSSION HAMMER,WITHOUT NEEDLE, 20CM, 8""",,HB 0051,HEBU,GERMANY,1,,0,1791800,1
143,0000-00-00,,"DÉJERINE PERCUSSION HAMMER,WITH NEEDLE, 21CM, 8 1/4""",,HB 0052,HEBU,GERMANY,1,,0,2046600,1
144,0000-00-00,,"RABINER PERCUSSION HAMMER,23CM, 9""",,HB 0053,HEBU,GERMANY,1,,0,1791800,1
145,0000-00-00,,"CAROLL FINGER GONIOMETER, 14CM5 1/2"", ONLY FOR COMPARISON""MEASUREMENT",,HB 0056,HEBU,GERMANY,1,,0,3282200,1
146,0000-00-00,,"COLLIN DYNAMOMETER FORCHILDREN, 12,5CM, 5""ONLY FOR COMPARISON MEASURE-MENT",,HB 0057,HEBU,GERMANY,1,,0,6400100,1
147,0000-00-00,,"COLLIN DYNAMOMETER FOR ADULTS,12,5CM, 5""ONLY FOR COMPARISON MEASURE-MENT",,HB 0058,HEBU,GERMANY,1,,0,6655000,1
148,0000-00-00,,"MÖLTGEN GONIOMETER, 24CM,9 1/2"", ONLY FOR COMPARISON""MEASUREMENT",,HB 0059,HEBU,GERMANY,1,,0,4196900,1
149,0000-00-00,,"WARTENBERG NEUROLOGICALPINWHEEL, 17CM, 6 3/4""",,HB 0060,HEBU,GERMANY,1,,0,2134100,1
150,0000-00-00,,"UNIVERSAL CALIPER, MEASURING RANGE 15CM,ONLY FOR COMPARISON""MEASUREMENT",,HB 0061,HEBU,GERMANY,1,,0,4739100,1
151,0000-00-00,,"UNIVERSAL CALIPER, SYNTHETIC,15CM,ONLY FOR COMPARISON MEASURE-MENT",,HB 0062,HEBU,GERMANY,1,,0,829500,1
152,0000-00-00,,"TAPE MEASURE OF LINEN, 1,8M,60""ONLY FOR COMPARISON MEASURE-MENT",,HB 0064,HEBU,GERMANY,1,,0,570300,1
153,0000-00-00,,"RULER, METAL, 15CM, 6""ONLY FOR COMPARISON MEASURE-MENT",,HB 0066,HEBU,GERMANY,1,,0,256000,1
154,0000-00-00,,"RULER, METAL, 20CM, 8""ONLY FOR COMPARISON MEASURE-MENT",,HB 0067,HEBU,GERMANY,1,,0,281900,1
155,0000-00-00,,"RULER, METAL, 30CM, 12""ONLY FOR COMPARISON MEASURE-MENT",,HB 0068,HEBU,GERMANY,1,,0,331600,1
156,0000-00-00,,"RULER, METAL, 50CM, 20""ONLY FOR COMPARISON MEASURE-MENT",,HB 0069,HEBU,GERMANY,1,,0,819800,1
157,0000-00-00,,"RULER, METAL, 15CM, 6""ONLY FOR COMPARISON MEASURE-MENT",,HB 0070,HEBU,GERMANY,1,,0,1989400,1
158,0000-00-00,,"PINARD STETHOSCOPE OF WOOD,30CM, 11""",,HB 0071,HEBU,GERMANY,1,,0,1023900,1
159,0000-00-00,,"PINARD STETHOSCOPE OF WOOD,18CM, 7""",,HB 0072,HEBU,GERMANY,1,,0,823000,1
160,0000-00-00,,"BABY-DUPLEX STETHOSCOPE,EXTRA LIGHTWEIGHT",,HB 0075,HEBU,GERMANY,1,,0,2553200,1
161,0000-00-00,,"DUPLEX STETHOSCOPE,EXTRA LIGHTWEIGHT",,HB 0076,HEBU,GERMANY,1,,0,2639600,1
162,0000-00-00,,ANESTOPHON STETHOSCOPE,,HB 0077,HEBU,GERMANY,1,,0,1589800,1
163,0000-00-00,,RIRAP STETHOSCOPE,,HB 0078,HEBU,GERMANY,1,,0,3382600,1
164,0000-00-00,,CARDIOPHON STETHOSCOPE,,HB 0079,HEBU,GERMANY,1,,0,9579600,1
165,0000-00-00,,"BIG BEN® BLOOD PRESSURE MANOMETERTABLE MODEL, CUFF FOR ADULTS",,HB 0080,HEBU,GERMANY,1,,0,8660600,1
166,0000-00-00,,"BIG BEN® BLOOD PRESSURE MANOMETER,TABLE MODEL, CUFF FOR CHILDREN",,HB 0080-01,HEBU,GERMANY,1,,0,8660600,1
167,0000-00-00,,"BIG BEN® BLOOD PRESSURE MANOMETER,TABLE MODEL, CUFF FORSTRONG ARMS",,HB 0080-02,HEBU,GERMANY,1,,0,9346400,1
168,0000-00-00,,PRECISA MANOMETER WITH VELCROCUFF,,HB 0084,HEBU,GERMANY,1,,0,5511300,1
169,0000-00-00,,MINIMUS III MANOMETER WITHHOOK CUFF,,HB 0085,HEBU,GERMANY,1,,0,7041600,1
170,0000-00-00,,MINIMUS III MANOMETER WITHVELCRO CUFF,,HB 0086,HEBU,GERMANY,1,,0,6374200,1
171,0000-00-00,,"FINE SWISS TWEEZERS, NO.112CM, 4 3/4""",,HB 0101,HEBU,GERMANY,1,,0,2245400,1
172,0000-00-00,,"FINE SWISS TWEEZERS, NO.212CM, 4 3/4""",,HB 0102,HEBU,GERMANY,1,,0,2391200,1
173,0000-00-00,,"FINE SWISS TWEEZERS, NO.312CM, 4 3/4""",,HB 0103,HEBU,GERMANY,1,,0,2391200,1
174,0000-00-00,,"FINE SWISS TWEEZERS, NO.412CM, 4 3/4""",,HB 0104,HEBU,GERMANY,1,,0,2605000,1
175,0000-00-00,,"FINE SWISS TWEEZERS, NO.512CM, 4 3/4""",,HB 0105,HEBU,GERMANY,1,,0,2886900,1
176,0000-00-00,,"FINE SWISS TWEEZERS, NO.612CM, 4 3/4""",,HB 0106,HEBU,GERMANY,1,,0,3159000,1
177,0000-00-00,,"FINE SWISS TWEEZERS, NO.712CM, 4 3/4""",,HB 0107,HEBU,GERMANY,1,,0,3159000,1
178,0000-00-00,,"FINE SWISS TWEEZERS,0,3MM, 12CM, 4 3/4""",,HB 0108,HEBU,GERMANY,1,,0,3100700,1
179,0000-00-00,,"ZIEGLER HEAD MIRROR, 90MM,BLACK",,HB 0110,HEBU,GERMANY,1,,0,4821200,1
180,0000-00-00,,"ZIEGLER HEAD MIRROR, 100MM,BLACK",,HB 0111,HEBU,GERMANY,1,,0,5158100,1
181,0000-00-00,,"ZIEGLER HEAD MIRROR, 90MM,WHITE",,HB 0112,HEBU,GERMANY,1,,0,4821200,1
182,0000-00-00,,"ZIEGLER HEAD MIRROR, 100MM,WHITE",,HB 0113,HEBU,GERMANY,1,,0,5158100,1
183,0000-00-00,,"ZIEGLER MIRROR ONLY, 90MM",,HB 0114,HEBU,GERMANY,1,,0,3269200,1
184,0000-00-00,,"ZIEGLER MIRROR ONLY, 100MM",,HB 0115,HEBU,GERMANY,1,,0,3316700,1
185,0000-00-00,,"ZIEGLER HEAD BAND ONLY, BLACK",,HB 0116,HEBU,GERMANY,1,,0,3316700,1
186,0000-00-00,,"ZIEGLER HEAD BAND ONLY, WHITE",,HB 0117,HEBU,GERMANY,1,,0,1534700,1
187,0000-00-00,,FASTENER BETWEEN MIRRORAND HEAD BAND,,HB 0117-01,HEBU,GERMANY,1,,0,854300,1
188,0000-00-00,,"LED HEAD LAMP, ADJUSTABLE STEPLESSHEADBAND BLACK, LI-ION POWER PACK, 700MA,TOTAL WEIGHT: 350G (WITH ",,HB 0118,HEBU,GERMANY,1,,0,81136300,1
189,0000-00-00,,"HEADBAND WHITE, WITHOUT HEAD FRAME",,HB 0118-01,HEBU,GERMANY,1,,0,80117700,1
190,0000-00-00,,"HEADBAND BLACK, WITHOUT HEAD FRAME",,HB 0118-02,HEBU,GERMANY,1,,0,80117700,1
191,0000-00-00,,"HEADBAND WHITE, WITH HEAD FRAME",,HB 0118-03,HEBU,GERMANY,1,,0,81138300,1
192,0000-00-00,,"HEADBAND BLACK, WITH HEAD FRAME",,HB 0118-04,HEBU,GERMANY,1,,0,81138300,1
193,0000-00-00,,"LI-ION BATTERY CHARGER,INCLUDING ADAPTER EU/UK/US",,HB 0118-10,HEBU,GERMANY,1,,0,10001900,1
194,0000-00-00,,"XENON HEAD LAMP, ADJUSTABLE STEPLESSHEADBAND,TOTAL WEIGHT: 160G (WITH BATTERIES)",,HB 0119,HEBU,GERMANY,1,,0,9580700,1
195,0000-00-00,,REPLACEMENT LAMP,,HB 0120,HEBU,GERMANY,1,,0,1006600,1
196,0000-00-00,,"CLAR HEAD LAMP, WITH WHITEHEADBANDLAMP: 6V, 0,4A, 2,4WATT",,HB 0124,HEBU,GERMANY,1,,0,25119800,1
197,0000-00-00,,WALL PLUG TRANSFORMER: 220V / 4V /6V 1A,,HB 0124-02,HEBU,GERMANY,1,,0,6537300,1
